Year,Month,Day,Precipitation,Date
2018,4,23,0,4/23/2018
2018,4,24,0,4/24/2018
2018,4,25,0,4/25/2018
2018,4,26,0,4/26/2018
2018,4,27,0,4/27/2018
2018,4,28,0,4/28/2018
2018,4,29,0,4/29/2018
2018,4,30,0,4/30/2018
2018,5,1,0,5/1/2018
2018,5,2,0,5/2/2018
2018,5,3,0,5/3/2018
2018,5,4,0,5/4/2018
2018,5,5,0,5/5/2018
2018,5,6,1.4,5/6/2018
2018,5,7,0,5/7/2018
2018,5,8,0,5/8/2018
2018,5,9,0,5/9/2018
2018,5,10,0,5/10/2018
2018,5,11,0,5/11/2018
2018,5,12,0,5/12/2018
2018,5,13,0,5/13/2018
2018,5,14,0,5/14/2018
2018,5,15,0,5/15/2018
2018,5,16,0,5/16/2018
2018,5,17,0,5/17/2018
2018,5,18,0,5/18/2018
2018,5,19,0,5/19/2018
2018,5,20,0,5/20/2018
2018,5,21,0,5/21/2018
2018,5,22,0,5/22/2018
2018,5,23,0,5/23/2018
2018,5,24,0,5/24/2018
2018,5,25,0,5/25/2018
2018,5,26,0,5/26/2018
2018,5,27,0,5/27/2018
2018,5,28,0,5/28/2018
2018,5,29,0,5/29/2018
2018,5,30,0,5/30/2018
2018,5,31,0,5/31/2018
2018,6,1,0,6/1/2018
2018,6,2,0,6/2/2018
2018,6,3,0,6/3/2018
2018,6,4,0,6/4/2018
2018,6,5,0,6/5/2018
2018,6,6,0,6/6/2018
2018,6,7,0,6/7/2018
2018,6,8,0,6/8/2018
2018,6,9,0,6/9/2018
2018,6,10,0,6/10/2018
2018,6,11,0,6/11/2018
2018,6,12,0,6/12/2018
2018,6,13,0.4,6/13/2018
2018,6,14,0,6/14/2018
2018,6,15,0,6/15/2018
2018,6,16,0,6/16/2018
2018,6,17,0,6/17/2018
2018,6,18,0,6/18/2018
2018,6,19,0,6/19/2018
2018,6,20,0,6/20/2018
2018,6,21,0,6/21/2018
2018,6,22,0,6/22/2018
2018,6,23,0,6/23/2018
2018,6,24,0,6/24/2018
2018,6,25,0,6/25/2018
2018,6,26,0,6/26/2018
2018,6,27,0,6/27/2018
2018,6,28,0,6/28/2018
2018,6,29,0,6/29/2018
2018,6,30,0,6/30/2018
2018,7,1,0,7/1/2018
2018,7,2,0,7/2/2018
2018,7,3,0,7/3/2018
2018,7,4,0,7/4/2018
2018,7,5,0,7/5/2018
2018,7,6,0,7/6/2018
2018,7,7,0,7/7/2018
2018,7,8,0,7/8/2018
2018,7,9,0,7/9/2018
2018,7,10,0.2,7/10/2018
2018,7,11,0,7/11/2018
2018,7,12,0,7/12/2018
2018,7,13,0,7/13/2018
2018,7,14,0,7/14/2018
2018,7,15,0,7/15/2018
2018,7,16,0,7/16/2018
2018,7,17,0,7/17/2018
2018,7,18,0,7/18/2018
2018,7,19,0,7/19/2018
2018,7,20,0,7/20/2018
2018,7,21,0,7/21/2018
2018,7,22,0,7/22/2018
2018,7,23,0,7/23/2018
2018,7,24,0,7/24/2018
2018,7,25,0,7/25/2018
2018,7,26,0,7/26/2018
2018,7,27,0,7/27/2018
2018,7,28,0,7/28/2018
2018,7,29,0,7/29/2018
2018,7,30,0,7/30/2018
2018,7,31,2.4,7/31/2018
2018,8,1,0,8/1/2018
2018,8,2,0,8/2/2018
2018,8,3,0,8/3/2018
2018,8,4,0,8/4/2018
2018,8,5,0,8/5/2018
2018,8,6,0.2,8/6/2018
2018,8,7,0,8/7/2018
2018,8,8,0,8/8/2018
2018,8,9,0,8/9/2018
2018,8,10,0.2,8/10/2018
2018,8,11,0,8/11/2018
2018,8,12,0,8/12/2018
2018,8,13,0,8/13/2018
2018,8,14,0,8/14/2018
2018,8,15,0,8/15/2018
2018,8,16,0,8/16/2018
2018,8,17,0,8/17/2018
2018,8,18,0,8/18/2018
2018,8,19,0,8/19/2018
2018,8,20,0,8/20/2018
2018,8,21,0,8/21/2018
2018,8,22,0,8/22/2018
2018,8,23,0,8/23/2018
2018,8,24,0,8/24/2018
2018,8,25,7.6,8/25/2018
2018,8,26,0,8/26/2018
2018,8,27,0,8/27/2018
2018,8,28,0,8/28/2018
2018,8,29,0,8/29/2018
2018,8,30,0,8/30/2018
2018,8,31,0,8/31/2018
2018,9,1,0,9/1/2018
2018,9,2,0,9/2/2018
2018,9,3,0,9/3/2018
2018,9,4,0,9/4/2018
2018,9,5,0,9/5/2018
2018,9,6,0,9/6/2018
2018,9,7,0,9/7/2018
2018,9,8,0,9/8/2018
2018,9,9,0,9/9/2018
2018,9,10,0,9/10/2018
2018,9,11,0,9/11/2018
2018,9,12,0,9/12/2018
2018,9,13,0,9/13/2018
2018,9,14,19,9/14/2018
2018,9,15,1,9/15/2018
2018,9,16,0,9/16/2018
2018,9,17,15.4,9/17/2018
2018,9,18,2.4,9/18/2018
2018,9,19,0.2,9/19/2018
2018,9,20,14.8,9/20/2018
2018,9,21,0.4,9/21/2018
2018,9,22,0,9/22/2018
2018,9,23,0,9/23/2018
2018,9,24,0,9/24/2018
2018,9,25,1.2,9/25/2018
2018,9,26,0,9/26/2018
2018,9,27,0.2,9/27/2018
2018,9,28,0.4,9/28/2018
2018,9,29,0,9/29/2018
2018,9,30,1.4,9/30/2018
2018,10,1,0,10/1/2018
2018,10,2,3.4,10/2/2018
2018,10,3,1,10/3/2018
2018,10,4,1.4,10/4/2018
2018,10,5,0,10/5/2018
2018,10,6,0,10/6/2018
2018,10,7,0.4,10/7/2018
2018,10,8,16.4,10/8/2018
2018,10,9,12.8,10/9/2018
2018,10,10,58.6,10/10/2018
2018,10,11,1.8,10/11/2018
2018,10,12,2,10/12/2018
2018,10,13,0.2,10/13/2018
2018,10,14,0.2,10/14/2018
2018,10,15,21.2,10/15/2018
2018,10,16,0.2,10/16/2018
2018,10,17,58.6,10/17/2018
2018,10,18,24.4,10/18/2018
2018,10,19,22.6,10/19/2018
2018,10,20,0,10/20/2018
2018,10,21,0,10/21/2018
2018,10,22,0,10/22/2018
2018,10,23,0,10/23/2018
2018,10,24,9.4,10/24/2018
2018,10,25,17.8,10/25/2018
2018,10,26,2,10/26/2018
2018,10,27,5.2,10/27/2018
2018,10,28,0.2,10/28/2018
2018,10,29,0,10/29/2018
2018,10,30,0,10/30/2018
2018,10,31,0,10/31/2018
2018,11,1,0,11/1/2018
2018,11,2,0,11/2/2018
2018,11,3,7.6,11/3/2018
2018,11,4,2.4,11/4/2018
2018,11,5,0,11/5/2018
2018,11,6,0,11/6/2018
2018,11,7,0,11/7/2018
2018,11,8,10,11/8/2018
2018,11,9,0.4,11/9/2018
2018,11,10,17.4,11/10/2018
2018,11,11,0.2,11/11/2018
2018,11,12,0,11/12/2018
2018,11,13,0,11/13/2018
2018,11,14,11.4,11/14/2018
2018,11,15,0,11/15/2018
2018,11,16,0,11/16/2018
2018,11,17,0,11/17/2018
2018,11,18,2,11/18/2018
2018,11,19,27.2,11/19/2018
2018,11,20,0.4,11/20/2018
2018,11,21,0,11/21/2018
2018,11,22,6.6,11/22/2018
2018,11,23,1.6,11/23/2018
2018,11,24,31,11/24/2018
2018,11,25,9,11/25/2018
2018,11,26,0,11/26/2018
2018,11,27,0,11/27/2018
2018,11,28,0,11/28/2018
2018,11,29,0,11/29/2018
2018,11,30,2.4,11/30/2018
2018,12,1,16,12/1/2018
2018,12,2,11.8,12/2/2018
2018,12,3,0,12/3/2018
2018,12,4,0,12/4/2018
2018,12,5,0,12/5/2018
2018,12,6,0,12/6/2018
2018,12,7,0,12/7/2018
2018,12,8,0,12/8/2018
2018,12,9,0,12/9/2018
2018,12,10,0,12/10/2018
2018,12,11,0,12/11/2018
2018,12,12,0,12/12/2018
2018,12,13,0,12/13/2018
2018,12,14,10,12/14/2018
2018,12,15,2.6,12/15/2018
2018,12,16,0,12/16/2018
2018,12,17,0,12/17/2018
2018,12,18,0.8,12/18/2018
2018,12,19,9.6,12/19/2018
2018,12,20,0,12/20/2018
2018,12,21,0,12/21/2018
2018,12,22,0,12/22/2018
2018,12,23,16.6,12/23/2018
2018,12,24,7,12/24/2018
2018,12,25,1.2,12/25/2018
2018,12,26,12.4,12/26/2018
2018,12,27,0,12/27/2018
2018,12,28,7,12/28/2018
2018,12,29,5,12/29/2018
2018,12,30,1,12/30/2018
2018,12,31,0.2,12/31/2018
2019,1,1,18.8,1/1/2019
2019,1,2,0,1/2/2019
2019,1,3,2.8,1/3/2019
2019,1,4,1,1/4/2019
2019,1,5,31.8,1/5/2019
2019,1,6,13.6,1/6/2019
2019,1,7,0.2,1/7/2019
2019,1,8,0,1/8/2019
2019,1,9,0,1/9/2019
2019,1,10,0,1/10/2019
2019,1,11,0,1/11/2019
2019,1,12,8.2,1/12/2019
2019,1,13,0,1/13/2019
2019,1,14,7.4,1/14/2019
2019,1,15,23.4,1/15/2019
2019,1,16,3.2,1/16/2019
2019,1,17,0.4,1/17/2019
2019,1,18,0,1/18/2019
2019,1,19,9.6,1/19/2019
2019,1,20,0,1/20/2019
2019,1,21,0,1/21/2019
2019,1,22,5.2,1/22/2019
2019,1,23,0,1/23/2019
2019,1,24,1,1/24/2019
2019,1,25,24.6,1/25/2019
2019,1,26,0.4,1/26/2019
2019,1,27,0,1/27/2019
2019,1,28,0,1/28/2019
2019,1,29,0,1/29/2019
2019,1,30,0,1/30/2019
2019,1,31,0,1/31/2019
2019,2,1,0,2/1/2019
2019,2,2,37,2/2/2019
2019,2,3,0,2/3/2019
2019,2,4,36.2,2/4/2019
2019,2,5,0,2/5/2019
2019,2,6,6.2,2/6/2019
2019,2,7,9.2,2/7/2019
2019,2,8,0,2/8/2019
2019,2,9,0,2/9/2019
2019,2,10,0,2/10/2019
2019,2,11,6,2/11/2019
2019,2,12,4.6,2/12/2019
2019,2,13,0.2,2/13/2019
2019,2,14,0,2/14/2019
2019,2,15,0.2,2/15/2019
2019,2,16,0,2/16/2019
2019,2,17,0.2,2/17/2019
2019,2,18,0,2/18/2019
2019,2,19,0,2/19/2019
2019,2,20,0,2/20/2019
2019,2,21,0,2/21/2019
2019,2,22,0,2/22/2019
2019,2,23,0,2/23/2019
2019,2,24,0,2/24/2019
2019,2,25,0,2/25/2019
2019,2,26,0,2/26/2019
2019,2,27,0,2/27/2019
2019,2,28,0,2/28/2019
2019,3,1,0,3/1/2019
2019,3,2,0,3/2/2019
2019,3,3,0,3/3/2019
2019,3,4,0,3/4/2019
2019,3,5,0,3/5/2019
2019,3,6,0,3/6/2019
2019,3,7,0,3/7/2019
2019,3,8,0,3/8/2019
2019,3,9,0,3/9/2019
2019,3,10,0,3/10/2019
2019,3,11,0,3/11/2019
2019,3,12,0,3/12/2019
2019,3,13,0,3/13/2019
2019,3,14,0,3/14/2019
2019,3,15,0,3/15/2019
2019,3,16,0,3/16/2019
2019,3,17,0,3/17/2019
2019,3,18,0,3/18/2019
2019,3,19,0,3/19/2019
2019,3,20,0,3/20/2019
2019,3,21,0,3/21/2019
2019,3,22,0,3/22/2019
2019,3,23,0,3/23/2019
2019,3,24,0,3/24/2019
2019,3,25,0,3/25/2019
2019,3,26,0,3/26/2019
2019,3,27,0,3/27/2019
2019,3,28,0,3/28/2019
2019,3,29,0,3/29/2019
2019,3,30,0,3/30/2019
2019,3,31,0,3/31/2019
2019,4,1,0,4/1/2019
2019,4,2,0,4/2/2019
2019,4,3,0,4/3/2019
2019,4,4,0,4/4/2019
2019,4,5,4.4,4/5/2019
2019,4,6,0,4/6/2019
2019,4,7,0,4/7/2019
2019,4,8,0,4/8/2019
2019,4,9,0,4/9/2019
2019,4,10,0,4/10/2019
2019,4,11,0,4/11/2019
2019,4,12,0,4/12/2019
2019,4,13,0,4/13/2019
2019,4,14,0,4/14/2019
2019,4,15,0,4/15/2019
2019,4,16,0,4/16/2019
2019,4,17,0,4/17/2019
2019,4,18,0,4/18/2019
2019,4,19,0,4/19/2019
2019,4,20,0,4/20/2019
2019,4,21,0,4/21/2019
2019,4,22,0,4/22/2019
2019,4,23,0,4/23/2019
2019,4,24,0,4/24/2019
2019,4,25,0,4/25/2019
2019,4,26,0,4/26/2019
2019,4,27,0,4/27/2019
2019,4,28,0,4/28/2019
2019,4,29,0,4/29/2019
2019,4,30,0,4/30/2019
2019,5,1,0,5/1/2019
2019,5,2,0,5/2/2019
2019,5,3,0,5/3/2019
2019,5,4,0,5/4/2019
2019,5,5,0,5/5/2019
2019,5,6,0,5/6/2019
2019,5,7,0,5/7/2019
2019,5,8,0,5/8/2019
2019,5,9,0,5/9/2019
2019,5,10,0,5/10/2019
2019,5,11,0,5/11/2019
2019,5,12,0,5/12/2019
2019,5,13,0,5/13/2019
2019,5,14,0,5/14/2019
2019,5,15,0,5/15/2019
2019,5,16,0,5/16/2019
2019,5,17,0,5/17/2019
2019,5,18,0,5/18/2019
2019,5,19,0,5/19/2019
2019,5,20,0,5/20/2019
2019,5,21,0,5/21/2019
2019,5,22,0,5/22/2019
2019,5,23,0,5/23/2019
2019,5,24,0,5/24/2019
2019,5,25,0,5/25/2019
2019,5,26,0,5/26/2019
2019,5,27,0,5/27/2019
2019,5,28,0,5/28/2019
2019,5,29,0,5/29/2019
2019,5,30,0,5/30/2019
2019,5,31,0,5/31/2019
2019,6,1,0,6/1/2019
2019,6,2,0,6/2/2019
2019,6,3,0,6/3/2019
2019,6,4,0,6/4/2019
2019,6,5,0,6/5/2019
2019,6,6,0,6/6/2019
2019,6,7,0,6/7/2019
2019,6,8,0,6/8/2019
2019,6,9,0,6/9/2019
2019,6,10,0,6/10/2019
2019,6,11,0,6/11/2019
2019,6,12,0,6/12/2019
2019,6,13,0,6/13/2019
2019,6,14,0,6/14/2019
2019,6,15,0,6/15/2019
2019,6,16,0,6/16/2019
2019,6,17,0,6/17/2019
2019,6,18,0,6/18/2019
2019,6,19,0,6/19/2019
2019,6,20,0,6/20/2019
2019,6,21,0,6/21/2019
2019,6,22,0,6/22/2019
2019,6,23,0,6/23/2019
2019,6,24,0,6/24/2019
2019,6,25,0,6/25/2019
2019,6,26,0,6/26/2019
2019,6,27,0,6/27/2019
2019,6,28,0,6/28/2019
2019,6,29,0,6/29/2019
2019,6,30,0,6/30/2019
2019,7,1,0,7/1/2019
2019,7,2,0,7/2/2019
2019,7,3,0,7/3/2019
2019,7,4,1,7/4/2019
2019,7,5,39.8,7/5/2019
2019,7,6,0.4,7/6/2019
2019,7,7,0,7/7/2019
2019,7,8,0,7/8/2019
2019,7,9,0,7/9/2019
2019,7,10,0,7/10/2019
2019,7,11,0,7/11/2019
2019,7,12,0,7/12/2019
2019,7,13,0,7/13/2019
2019,7,14,0,7/14/2019
2019,7,15,0,7/15/2019
2019,7,16,1.4,7/16/2019
2019,7,17,0,7/17/2019
2019,7,18,0,7/18/2019
2019,7,19,0,7/19/2019
2019,7,20,0,7/20/2019
2019,7,21,0,7/21/2019
2019,7,22,0,7/22/2019
2019,7,23,0,7/23/2019
2019,7,24,0,7/24/2019
2019,7,25,0,7/25/2019
2019,7,26,0,7/26/2019
2019,7,27,0,7/27/2019
2019,7,28,0,7/28/2019
2019,7,29,0,7/29/2019
2019,7,30,0.2,7/30/2019
2019,7,31,0,7/31/2019
2019,8,1,0,8/1/2019
2019,8,2,0,8/2/2019
2019,8,3,1.4,8/3/2019
2019,8,4,9.8,8/4/2019
2019,8,5,4.4,8/5/2019
2019,8,6,0,8/6/2019
2019,8,7,0,8/7/2019
2019,8,8,0,8/8/2019
2019,8,9,0,8/9/2019
2019,8,10,0,8/10/2019
2019,8,11,0,8/11/2019
2019,8,12,0,8/12/2019
2019,8,13,0,8/13/2019
2019,8,14,0,8/14/2019
2019,8,15,0,8/15/2019
2019,8,16,0,8/16/2019
2019,8,17,0,8/17/2019
2019,8,18,0,8/18/2019
2019,8,19,0,8/19/2019
2019,8,20,0,8/20/2019
2019,8,21,0,8/21/2019
2019,8,22,0,8/22/2019
2019,8,23,0,8/23/2019
2019,8,24,0,8/24/2019
2019,8,25,0,8/25/2019
2019,8,26,0,8/26/2019
2019,8,27,0,8/27/2019
2019,8,28,0,8/28/2019
2019,8,29,0.2,8/29/2019
2019,8,30,0,8/30/2019
2019,8,31,0,8/31/2019
2019,9,1,24.8,9/1/2019
2019,9,2,7.8,9/2/2019
2019,9,3,5,9/3/2019
2019,9,4,1.8,9/4/2019
2019,9,5,0,9/5/2019
2019,9,6,0,9/6/2019
2019,9,7,0,9/7/2019
2019,9,8,0,9/8/2019
2019,9,9,0,9/9/2019
2019,9,10,0,9/10/2019
2019,9,11,0,9/11/2019
2019,9,12,0,9/12/2019
2019,9,13,0,9/13/2019
2019,9,14,0,9/14/2019
2019,9,15,0,9/15/2019
2019,9,16,0,9/16/2019
2019,9,17,0,9/17/2019
2019,9,18,0,9/18/2019
2019,9,19,0,9/19/2019
2019,9,20,0,9/20/2019
2019,9,21,0,9/21/2019
2019,9,22,0,9/22/2019
2019,9,23,0,9/23/2019
2019,9,24,0,9/24/2019
2019,9,25,18.8,9/25/2019
2019,9,26,4.6,9/26/2019
2019,9,27,0.2,9/27/2019
2019,9,28,0,9/28/2019
2019,9,29,0,9/29/2019
2019,9,30,0,9/30/2019
2019,10,1,0,10/1/2019
2019,10,2,0,10/2/2019
2019,10,3,0,10/3/2019
2019,10,4,0,10/4/2019
2019,10,5,0,10/5/2019
2019,10,6,32.8,10/6/2019
2019,10,7,1,10/7/2019
2019,10,8,4.6,10/8/2019
2019,10,9,3.8,10/9/2019
2019,10,10,0,10/10/2019
2019,10,11,0,10/11/2019
2019,10,12,0,10/12/2019
2019,10,13,0,10/13/2019
2019,10,14,0,10/14/2019
2019,10,15,0,10/15/2019
2019,10,16,0,10/16/2019
2019,10,17,0.6,10/17/2019
2019,10,18,3.4,10/18/2019
2019,10,19,29.2,10/19/2019
2019,10,20,0,10/20/2019
2019,10,21,2,10/21/2019
2019,10,22,0,10/22/2019
2019,10,23,0,10/23/2019
2019,10,24,0,10/24/2019
2019,10,25,0,10/25/2019
2019,10,26,0,10/26/2019
2019,10,27,0,10/27/2019
2019,10,28,4.8,10/28/2019
2019,10,29,0,10/29/2019
2019,10,30,4,10/30/2019
2019,10,31,0,10/31/2019
2019,11,1,0,11/1/2019
2019,11,2,0,11/2/2019
2019,11,3,0,11/3/2019
2019,11,4,0,11/4/2019
2019,11,5,30.4,11/5/2019
2019,11,6,2.2,11/6/2019
2019,11,7,0,11/7/2019
2019,11,8,9.6,11/8/2019
2019,11,9,0,11/9/2019
2019,11,10,5.6,11/10/2019
2019,11,11,0.2,11/11/2019
2019,11,12,0,11/12/2019
2019,11,13,0,11/13/2019
2019,11,14,17.6,11/14/2019
2019,11,15,15.4,11/15/2019
2019,11,16,0.2,11/16/2019
2019,11,17,0,11/17/2019
2019,11,18,0,11/18/2019
2019,11,19,0,11/19/2019
2019,11,20,0.4,11/20/2019
2019,11,21,0,11/21/2019
2019,11,22,3.4,11/22/2019
2019,11,23,1.6,11/23/2019
2019,11,24,0.6,11/24/2019
2019,11,25,0,11/25/2019
2019,11,26,0,11/26/2019
2019,11,27,15,11/27/2019
2019,11,28,13.6,11/28/2019
2019,11,29,0,11/29/2019
2019,11,30,8.8,11/30/2019
2019,12,1,48.4,12/1/2019
2019,12,2,9.8,12/2/2019
2019,12,3,0,12/3/2019
2019,12,4,3.4,12/4/2019
2019,12,5,29.8,12/5/2019
2019,12,6,17.4,12/6/2019
2019,12,7,0.2,12/7/2019
2019,12,8,0,12/8/2019
2019,12,9,32,12/9/2019
2019,12,10,0,12/10/2019
2019,12,11,22.8,12/11/2019
2019,12,12,2,12/12/2019
2019,12,13,0,12/13/2019
2019,12,14,0,12/14/2019
2019,12,15,0,12/15/2019
2019,12,16,0,12/16/2019
2019,12,17,1.6,12/17/2019
2019,12,18,11.6,12/18/2019
2019,12,19,29.4,12/19/2019
2019,12,20,1.4,12/20/2019
2019,12,21,0.8,12/21/2019
2019,12,22,4.4,12/22/2019
2019,12,23,38,12/23/2019
2019,12,24,0.4,12/24/2019
2019,12,25,0,12/25/2019
2019,12,26,17.6,12/26/2019
2019,12,27,0,12/27/2019
2019,12,28,0,12/28/2019
2019,12,29,0,12/29/2019
2019,12,30,0,12/30/2019
2019,12,31,0.4,12/31/2019
2020,1,1,0,1/1/2020
2020,1,2,63.8,1/2/2020
2020,1,3,2.2,1/3/2020
2020,1,4,19.6,1/4/2020
2020,1,5,26.4,1/5/2020
2020,1,6,0.4,1/6/2020
2020,1,7,20.6,1/7/2020
2020,1,8,23.2,1/8/2020
2020,1,9,3.8,1/9/2020
2020,1,10,1.4,1/10/2020
2020,1,11,4.2,1/11/2020
2020,1,12,92.2,1/12/2020
2020,1,13,2,1/13/2020
2020,1,14,0,1/14/2020
2020,1,15,0,1/15/2020
2020,1,16,0.2,1/16/2020
2020,1,17,0.2,1/17/2020
2020,1,18,0,1/18/2020
2020,1,19,0,1/19/2020
2020,1,20,0.2,1/20/2020
2020,1,21,0,1/21/2020
2020,1,22,0,1/22/2020
2020,1,23,29.2,1/23/2020
2020,1,24,3,1/24/2020
2020,1,25,0,1/25/2020
2020,1,26,0,1/26/2020
2020,1,27,0,1/27/2020
2020,1,28,0,1/28/2020
2020,1,29,0,1/29/2020
2020,1,30,1.2,1/30/2020
2020,1,31,0,1/31/2020
2020,2,1,47,2/1/2020
2020,2,2,0.8,2/2/2020
2020,2,3,4.2,2/3/2020
2020,2,4,2.8,2/4/2020
2020,2,5,10.4,2/5/2020
2020,2,6,31.2,2/6/2020
2020,2,7,36,2/7/2020
2020,2,8,2.2,2/8/2020
2020,2,9,1.6,2/9/2020
2020,2,10,22.8,2/10/2020
2020,2,11,29,2/11/2020
2020,2,12,0,2/12/2020
2020,2,13,0,2/13/2020
2020,2,14,0,2/14/2020
2020,2,15,0,2/15/2020
2020,2,16,0,2/16/2020
2020,2,17,0,2/17/2020
2020,2,18,1.6,2/18/2020
2020,2,19,9,2/19/2020
2020,2,20,16.8,2/20/2020
2020,2,21,12.8,2/21/2020
2020,2,22,0,2/22/2020
2020,2,23,11.4,2/23/2020
2020,2,24,14.8,2/24/2020
2020,2,25,0.6,2/25/2020
2020,2,26,84.4,2/26/2020
2020,2,27,45.4,2/27/2020
2020,2,28,3.2,2/28/2020
2020,2,29,0,2/29/2020
2020,3,1,0,3/1/2020
2020,3,2,0,3/2/2020
2020,3,3,0,3/3/2020
2020,3,4,0,3/4/2020
2020,3,5,0,3/5/2020
2020,3,6,0,3/6/2020
2020,3,7,0,3/7/2020
2020,3,8,0,3/8/2020
2020,3,9,0,3/9/2020
2020,3,10,0,3/10/2020
2020,3,11,0,3/11/2020
2020,3,12,0,3/12/2020
2020,3,13,0,3/13/2020
2020,3,14,0,3/14/2020
2020,3,15,0,3/15/2020
2020,3,16,1.2,3/16/2020
2020,3,17,10.6,3/17/2020
2020,3,18,0.4,3/18/2020
2020,3,19,2.2,3/19/2020
2020,3,20,7.4,3/20/2020
2020,3,21,28.4,3/21/2020
2020,3,22,0,3/22/2020
2020,3,23,0,3/23/2020
2020,3,24,0,3/24/2020
2020,3,25,0,3/25/2020
2020,3,26,0,3/26/2020
2020,3,27,0,3/27/2020
2020,3,28,0,3/28/2020
2020,3,29,59,3/29/2020
2020,3,30,2.4,3/30/2020
2020,3,31,0,3/31/2020
2020,4,1,0,4/1/2020
2020,4,2,0,4/2/2020
2020,4,3,0,4/3/2020
2020,4,4,0,4/4/2020
2020,4,5,0,4/5/2020
2020,4,6,0,4/6/2020
2020,4,7,0.6,4/7/2020
2020,4,8,0,4/8/2020
2020,4,9,0,4/9/2020
2020,4,10,0,4/10/2020
2020,4,11,0,4/11/2020
2020,4,12,0,4/12/2020
2020,4,13,0,4/13/2020
2020,4,14,4,4/14/2020
2020,4,15,0,4/15/2020
2020,4,16,0,4/16/2020
2020,4,17,0,4/17/2020
2020,4,18,0,4/18/2020
2020,4,19,0,4/19/2020
2020,4,20,0,4/20/2020
2020,4,21,0,4/21/2020
2020,4,22,0,4/22/2020
2020,4,23,0,4/23/2020
2020,4,24,0,4/24/2020
2020,4,25,0,4/25/2020
2020,4,26,0,4/26/2020
2020,4,27,0,4/27/2020
2020,4,28,0,4/28/2020
2020,4,29,0,4/29/2020
2020,4,30,0,4/30/2020
2020,5,1,0,5/1/2020
2020,5,2,0,5/2/2020
2020,5,3,0,5/3/2020
2020,5,4,0,5/4/2020
2020,5,5,0,5/5/2020
2020,5,6,0,5/6/2020
2020,5,7,0,5/7/2020
2020,5,8,0,5/8/2020
2020,5,9,0,5/9/2020
2020,5,10,0,5/10/2020
2020,5,11,0,5/11/2020
2020,5,12,0,5/12/2020
2020,5,13,0,5/13/2020
2020,5,14,12.8,5/14/2020
2020,5,15,1.2,5/15/2020
2020,5,16,0,5/16/2020
2020,5,17,0,5/17/2020
2020,5,18,0,5/18/2020
2020,5,19,0,5/19/2020
2020,5,20,0,5/20/2020
2020,5,21,0,5/21/2020
2020,5,22,0,5/22/2020
2020,5,23,25.8,5/23/2020
2020,5,24,0,5/24/2020
2020,5,25,0,5/25/2020
2020,5,26,0,5/26/2020
2020,5,27,0,5/27/2020
2020,5,28,0,5/28/2020
2020,5,29,0,5/29/2020
2020,5,30,0,5/30/2020
2020,5,31,0,5/31/2020
2020,6,1,0,6/1/2020
2020,6,2,0,6/2/2020
2020,6,3,0.4,6/3/2020
2020,6,4,6.6,6/4/2020
2020,6,5,0.6,6/5/2020
2020,6,6,0,6/6/2020
2020,6,7,40.2,6/7/2020
2020,6,8,0,6/8/2020
2020,6,9,0.4,6/9/2020
2020,6,10,0,6/10/2020
2020,6,11,0,6/11/2020
2020,6,12,0,6/12/2020
2020,6,13,0,6/13/2020
2020,6,14,0,6/14/2020
2020,6,15,0,6/15/2020
2020,6,16,0,6/16/2020
2020,6,17,0,6/17/2020
2020,6,18,0,6/18/2020
2020,6,19,0,6/19/2020
2020,6,20,0,6/20/2020
2020,6,21,0,6/21/2020
2020,6,22,0,6/22/2020
2020,6,23,0,6/23/2020
2020,6,24,0,6/24/2020
2020,6,25,0,6/25/2020
2020,6,26,1.6,6/26/2020
2020,6,27,22.8,6/27/2020
2020,6,28,0.2,6/28/2020
2020,6,29,0,6/29/2020
2020,6,30,0,6/30/2020
2020,7,1,2.8,7/1/2020
2020,7,2,0,7/2/2020
2020,7,3,0,7/3/2020
2020,7,4,0,7/4/2020
2020,7,5,0,7/5/2020
2020,7,6,0,7/6/2020
2020,7,7,0,7/7/2020
2020,7,8,0,7/8/2020
2020,7,9,1.4,7/9/2020
2020,7,10,0,7/10/2020
2020,7,11,0,7/11/2020
2020,7,12,0,7/12/2020
2020,7,13,0,7/13/2020
2020,7,14,0,7/14/2020
2020,7,15,0,7/15/2020
2020,7,16,0,7/16/2020
2020,7,17,0,7/17/2020
2020,7,18,0,7/18/2020
2020,7,19,0,7/19/2020
2020,7,20,0,7/20/2020
2020,7,21,0,7/21/2020
2020,7,22,0,7/22/2020
2020,7,23,0,7/23/2020
2020,7,24,0,7/24/2020
2020,7,25,0,7/25/2020
2020,7,26,0,7/26/2020
2020,7,27,0,7/27/2020
2020,7,28,0,7/28/2020
2020,7,29,0,7/29/2020
2020,7,30,0,7/30/2020
2020,7,31,0,7/31/2020
2020,8,1,0,8/1/2020
2020,8,2,0,8/2/2020
2020,8,3,0,8/3/2020
2020,8,4,0,8/4/2020
2020,8,5,0,8/5/2020
2020,8,6,0,8/6/2020
2020,8,7,0,8/7/2020
2020,8,8,0,8/8/2020
2020,8,9,0,8/9/2020
2020,8,10,0,8/10/2020
2020,8,11,0,8/11/2020
2020,8,12,0,8/12/2020
2020,8,13,0,8/13/2020
2020,8,14,0,8/14/2020
2020,8,15,0,8/15/2020
2020,8,16,0,8/16/2020
2020,8,17,16.8,8/17/2020
2020,8,18,0,8/18/2020
2020,8,19,0,8/19/2020
2020,8,20,0,8/20/2020
